id,address,city,housing_type,price,price_per_m2,price_diff%,area,ground_area,rooms,year_built,energy_label,monthly_cost,date_added,date_removed,days_on_sale,status,retrieved,link
1927078,"Katholmvej 15, st.",2720 Vanløse,Villalejlighed,6895000,69646,-0.05,99,788,4,1929-01-01,C,3651,2022-09-01,,58,online,2022-10-26 20:28:28,/bolig/1927078/katholmvej_15_st_2720_vanloese
1927002,Grøndals Parkvej 48,2720 Vanløse,Villa,9995000,52605,-0.05,190,558,6,1935-01-01,E,5636,2022-09-01,2022-10-29,56,removed,2022-10-26 20:28:32,/bolig/1927002/groendals_parkvej_48_2720_vanloese
1927166,Jernbane Allé 21 4 29,2720 Vanløse,Ejerlejlighed,2995000,41027,0.0,73,0,2,1974-01-01,B,3281,2022-09-01,,58,online,2022-10-26 20:28:32,/bolig/1927166/jernbane_alle_21_4_29_2720_vanloese
1928115,Skjulhøj Allé 22C,2720 Vanløse,Ejerlejlighed,4395000,104642,0.0,42,0,2,1899-01-01,D,3089,2022-09-05,,54,online,2022-10-26 20:28:32,/bolig/1928115/skjulhoej_alle_22c_2720_vanloese
1928825,"Rebildvej 14, st.",2720 Vanløse,Villalejlighed,4995000,47122,0.0,106,860,4,1933-01-01,D,3308,2022-09-07,,52,online,2022-10-26 20:28:32,/bolig/1928825/rebildvej_14_st_2720_vanloese
1929002,"Langdraget 27, st. tv",2720 Vanløse,Ejerlejlighed,2650000,48181,-0.05,55,0,2,1935-01-01,D,2885,2022-09-08,,51,online,2022-10-26 20:28:32,/bolig/1929002/langdraget_27_st_tv_2720_vanloese
1929231,Tybjergvej 27,2720 Vanløse,Villa,7195000,41114,0.0,175,1192,6,1936-01-01,C,7851,2022-09-08,,51,online,2022-10-26 20:28:32,/bolig/1929231/tybjergvej_27_2720_vanloese
1929691,"Skjulhøj Allé 77, st. th",2720 Vanløse,Ejerlejlighed,2395000,35746,0.0,67,0,3,1939-01-01,D,2727,2022-09-09,,50,online,2022-10-26 20:28:32,/bolig/1929691/skjulhoej_alle_77_st_th_2720_vanloese
1929397,Nordbyvej 13,2720 Vanløse,Villalejlighed,3998000,32241,0.0,124,0,5,1934-01-01,D,4078,2022-09-09,,50,online,2022-10-26 20:28:32,/bolig/1929397/nordbyvej_13_2720_vanloese
1930632,"Vendsysselvej 41, st. tv",2720 Vanløse,Ejerlejlighed,6195000,49166,0.0,126,0,5,1936-01-01,D,5131,2022-09-13,,46,online,2022-10-26 20:28:32,/bolig/1930632/vendsysselvej_41_st_tv_2720_vanloese
1930679,Damstien 10,2720 Vanløse,Villa,10500000,52500,0.0,200,1328,7,1943-01-01,D,9898,2022-09-13,,46,online,2022-10-26 20:28:32,/bolig/1930679/damstien_10_2720_vanloese
1931059,"Slotsherrensvej 9, st.. tv.",2720 Vanløse,Ejerlejlighed,2495000,33716,0.0,74,0,3,1936-01-01,C,3395,2022-09-14,,45,online,2022-10-26 20:28:32,/bolig/1931059/slotsherrensvej_9_st_tv_2720_vanloese
1931920,"Nedertoften 37, ST. TH",2720 Vanløse,Ejerlejlighed,2250000,38793,-0.02,58,0,2,1939-01-01,D,2508,2022-09-16,,43,online,2022-10-26 20:28:32,/bolig/1931920/nedertoften_37_st_th_2720_vanloese
1931831,"Bangsbovej 67B, st..",2720 Vanløse,Villalejlighed,5798000,52709,0.0,110,0,4,1931-01-01,E,3370,2022-09-16,,43,online,2022-10-26 20:28:32,/bolig/1931831/bangsbovej_67b_st_2720_vanloese
